###log of a sample Cooja simulation: See the report for more details.

msgID: 1bc5d1df.3ff9ee, Message received on port 60001 for user 1.
msgID: 2909673f.035be8, Message received on port 60002 for user 2.
msgID: 84a86180.34319, Message received on port 60002 for user 2.
msgID: 84a86180.34319, Message for user 2 cleared: user 2 is too near from user 1
msgID: 84a86180.34319, Sending notification to user 2...
msgID: 278ae29e.411a1e, Message received on port 60001 for user 1.
msgID: 278ae29e.411a1e, Message for user 1 cleared: user 1 is too near from user 2
msgID: 278ae29e.411a1e, Sending notification to user 1...
msgID: 4de0e29e.d5a21c, Message received on port 60002 for user 2.
msgID: 4de0e29e.d5a21c, Message for user 2 cleared: user 2 is too near from user 1
msgID: 4de0e29e.d5a21c, Not enough time has passed since last notification.
Congratulations! You've fired the Keep_your_distance%21 event (msgID: 84a86180.34319, Notification sent to the user 2)
Congratulations! You've fired the Keep_your_distance%21 event (msgID: 278ae29e.411a1e, Notification sent to the user 1)
msgID: 7303229e.adcecc, Message received on port 60001 for user 1.
msgID: 7303229e.adcecc, Message for user 1 cleared: user 1 is too near from user 2
msgID: 7303229e.adcecc, Not enough time has passed since last notification.
msgID: fba78473.ddbbf8, Message received on port 60002 for user 2.
msgID: fba78473.ddbbf8, Message for user 2 cleared: user 2 is too near from user 1
msgID: fba78473.ddbbf8, Not enough time has passed since last notification.
msgID: 3efc0a97.fbc996, Message received on port 60003 for user 3.
msgID: 3efc0a97.fbc996, Message for user 3 cleared: user 3 is too near from user 1
msgID: 3efc0a97.fbc996, Sending notification to user 3...
msgID: 5bebd7a.106bc28, Message received on port 60001 for user 1.
msgID: 5bebd7a.106bc28, Message for user 1 cleared: user 1 is too near from user 3
msgID: 5bebd7a.106bc28, Sending notification to user 1...
Congratulations! You've fired the Keep_your_distance%21 event (msgID: 5bebd7a.106bc28, Notification sent to the user 1)
msgID: c1f8b3ff.6006e, Message received on port 60003 for user 3.
msgID: c1f8b3ff.6006e, Message for user 3 cleared: user 3 is too near from user 1
msgID: c1f8b3ff.6006e, Not enough time has passed since last notification.
msgID: a912e854.7715f8, Message received on port 60001 for user 1.
msgID: a912e854.7715f8, Message for user 1 cleared: user 1 is too near from user 3
msgID: a912e854.7715f8, Not enough time has passed since last notification.
msgID: 48c4c6f0.9f52a8, Message received on port 60003 for user 3.
msgID: 48c4c6f0.9f52a8, Message for user 3 cleared: user 3 is too near from user 1
msgID: 48c4c6f0.9f52a8, Not enough time has passed since last notification.
msgID: 2b71c722.239ea8, Message received on port 60001 for user 1.
msgID: 2b71c722.239ea8, Message for user 1 cleared: user 1 is too near from user 3
msgID: 2b71c722.239ea8, Not enough time has passed since last notification.
msgID: ad180c9e.a2d12, Message received on port 60001 for user 1.
msgID: ad180c9e.a2d12, Message for user 1 cleared: user 1 is too near from user 4
msgID: ad180c9e.a2d12, Sending notification to user 1...
Congratulations! You've fired the Keep_your_distance%21 event (msgID: ad180c9e.a2d12, Notification sent to the user 1)
msgID: 6ce788e8.ea3b08, Message received on port 60001 for user 1.
msgID: 6ce788e8.ea3b08, Message for user 1 cleared: user 1 is too near from user 4
msgID: 6ce788e8.ea3b08, Not enough time has passed since last notification.
msgID: 7715cf53.8c3fc, Message received on port 60001 for user 1.
msgID: 7715cf53.8c3fc, Message for user 1 cleared: user 1 is too near from user 5
msgID: 7715cf53.8c3fc, Sending notification to user 1...
Congratulations! You've fired the Keep_your_distance%21 event (msgID: 7715cf53.8c3fc, Notification sent to the user 1)
msgID: dac4b194.5911b, Message received on port 60001 for user 1.
msgID: dac4b194.5911b, Message for user 1 cleared: user 1 is too near from user 5
msgID: dac4b194.5911b, Not enough time has passed since last notification.
msgID: 77995c25.fc4d64, Message received on port 60001 for user 1.
msgID: 77995c25.fc4d64, Message for user 1 cleared: user 1 is too near from user 5
msgID: 77995c25.fc4d64, Not enough time has passed since last notification.
msgID: 10c729d7.a3c666, Message received on port 60001 for user 1.
msgID: 10c729d7.a3c666, Message for user 1 cleared: user 1 is too near from user 2
msgID: 10c729d7.a3c666, Not enough time has passed since last notification.
msgID: 29520118.c144ae, Message received on port 60002 for user 2.
msgID: 29520118.c144ae, Message for user 2 cleared: user 2 is too near from user 1
msgID: 29520118.c144ae, Not enough time has passed since last notification.
msgID: e0909e8f.d5f62, Message received on port 60001 for user 1.
msgID: e0909e8f.d5f62, Message for user 1 cleared: user 1 is too near from user 2
msgID: e0909e8f.d5f62, Not enough time has passed since last notification.
msgID: 7e0a5f81.b450d, Message received on port 60002 for user 2.
msgID: 7e0a5f81.b450d, Message for user 2 cleared: user 2 is too near from user 1
msgID: 7e0a5f81.b450d, Not enough time has passed since last notification.
